
> house-rental@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.8:3000
- Environments: .env.local, .env
✓ Ready in 2.1s
✓ Running next.config.ts took 136ms

 GET / 200 in 5.6s (next.js: 902ms, application-code: 4.7s)
 GET / 200 in 1131ms (next.js: 12ms, application-code: 1119ms)
 GET / 200 in 2.2s (next.js: 26ms, application-code: 2.1s)
 GET /agent/dashboard 200 in 3.6s (next.js: 228ms, application-code: 3.4s)
 GET / 200 in 3.0s (next.js: 14ms, application-code: 3.0s)
✓ Compiled in 64.8s
 GET / 200 in 3.3s (next.js: 114ms, application-code: 3.2s)
✓ Compiled in 3.6s
✓ Compiled in 14.3s
 GET / 200 in 2.7s (next.js: 180ms, application-code: 2.5s)
 GET / 200 in 3.9s (next.js: 21ms, application-code: 3.9s)
  Reload env: .env.local
✓ Compiled in 115.1s
 GET / 200 in 83s (next.js: 80s, application-code: 2.3s)
 GET / 200 in 54s (next.js: 51s, application-code: 2.7s)
 GET / 200 in 116s (next.js: 112s, application-code: 4.1s)
 GET / 200 in 55s (next.js: 52s, application-code: 2.8s)
 GET / 200 in 55s (next.js: 51s, application-code: 3.8s)
 GET / 200 in 1106ms (next.js: 18ms, application-code: 1089ms)
 GET / 200 in 55s (next.js: 51s, application-code: 3.8s)
 GET / 200 in 1338ms (next.js: 14ms, application-code: 1324ms)
 GET / 200 in 1324ms (next.js: 72ms, application-code: 1252ms)
 GET / 200 in 1494ms (next.js: 171ms, application-code: 1323ms)
 GET / 200 in 1353ms (next.js: 19ms, application-code: 1334ms)
 GET / 200 in 1345ms (next.js: 136ms, application-code: 1209ms)
 GET / 200 in 1293ms (next.js: 35ms, application-code: 1258ms)
 GET / 200 in 1184ms (next.js: 58ms, application-code: 1126ms)
 GET / 200 in 1117ms (next.js: 24ms, application-code: 1092ms)
 GET / 200 in 1163ms (next.js: 19ms, application-code: 1144ms)
 GET / 200 in 1183ms (next.js: 16ms, application-code: 1167ms)
 GET / 200 in 1184ms (next.js: 108ms, application-code: 1076ms)
 GET / 200 in 1359ms (next.js: 30ms, application-code: 1329ms)
 GET / 200 in 1459ms (next.js: 44ms, application-code: 1415ms)
 GET / 200 in 1432ms (next.js: 25ms, application-code: 1407ms)
 GET / 200 in 1482ms (next.js: 31ms, application-code: 1451ms)
 GET / 200 in 1303ms (next.js: 63ms, application-code: 1240ms)
 GET / 200 in 1784ms (next.js: 166ms, application-code: 1618ms)
 GET / 200 in 1710ms (next.js: 29ms, application-code: 1681ms)
 GET / 200 in 1457ms (next.js: 23ms, application-code: 1433ms)
 GET / 200 in 1611ms (next.js: 59ms, application-code: 1551ms)
 GET / 200 in 1481ms (next.js: 85ms, application-code: 1396ms)
 GET / 200 in 1709ms (next.js: 214ms, application-code: 1494ms)
 GET / 200 in 1340ms (next.js: 78ms, application-code: 1262ms)
 GET / 200 in 1287ms (next.js: 20ms, application-code: 1267ms)
 GET / 200 in 1291ms (next.js: 206ms, application-code: 1085ms)
 GET / 200 in 1343ms (next.js: 30ms, application-code: 1313ms)
 GET / 200 in 1450ms (next.js: 20ms, application-code: 1430ms)
 GET / 200 in 1531ms (next.js: 28ms, application-code: 1503ms)
 GET / 200 in 1446ms (next.js: 20ms, application-code: 1425ms)
 GET / 200 in 1374ms (next.js: 59ms, application-code: 1316ms)
 GET / 200 in 1453ms (next.js: 132ms, application-code: 1321ms)
 GET / 200 in 1479ms (next.js: 36ms, application-code: 1443ms)
 GET / 200 in 1799ms (next.js: 21ms, application-code: 1778ms)
 GET / 200 in 2.1s (next.js: 130ms, application-code: 1952ms)
 GET / 200 in 2.0s (next.js: 109ms, application-code: 1939ms)
 GET / 200 in 1874ms (next.js: 106ms, application-code: 1768ms)
 GET / 200 in 1636ms (next.js: 206ms, application-code: 1430ms)
 GET / 200 in 1466ms (next.js: 133ms, application-code: 1333ms)
 GET / 200 in 1344ms (next.js: 42ms, application-code: 1302ms)
 GET / 200 in 1365ms (next.js: 126ms, application-code: 1239ms)
 GET / 200 in 1258ms (next.js: 28ms, application-code: 1230ms)
 GET / 200 in 1481ms (next.js: 14ms, application-code: 1467ms)
 GET / 200 in 1288ms (next.js: 109ms, application-code: 1179ms)
 GET / 200 in 1252ms (next.js: 93ms, application-code: 1158ms)
 GET / 200 in 1187ms (next.js: 23ms, application-code: 1163ms)
 GET / 200 in 991ms (next.js: 18ms, application-code: 973ms)
 GET / 200 in 1436ms (next.js: 156ms, application-code: 1280ms)
 GET / 200 in 1246ms (next.js: 102ms, application-code: 1144ms)
 GET / 200 in 1206ms (next.js: 45ms, application-code: 1162ms)
 GET / 200 in 978ms (next.js: 17ms, application-code: 961ms)
 GET / 200 in 1163ms (next.js: 21ms, application-code: 1142ms)
 GET / 200 in 1377ms (next.js: 14ms, application-code: 1363ms)
 GET / 200 in 1532ms (next.js: 12ms, application-code: 1520ms)
 GET / 200 in 1379ms (next.js: 37ms, application-code: 1342ms)
 GET / 200 in 1552ms (next.js: 56ms, application-code: 1497ms)
 GET / 200 in 1380ms (next.js: 23ms, application-code: 1357ms)
 GET / 200 in 1504ms (next.js: 145ms, application-code: 1359ms)
 GET / 200 in 1296ms (next.js: 22ms, application-code: 1273ms)
 GET / 200 in 1177ms (next.js: 149ms, application-code: 1029ms)
 GET / 200 in 1192ms (next.js: 22ms, application-code: 1170ms)
 GET / 200 in 1115ms (next.js: 108ms, application-code: 1007ms)
 GET / 200 in 1318ms (next.js: 17ms, application-code: 1301ms)
 GET / 200 in 1153ms (next.js: 11ms, application-code: 1143ms)
 GET / 200 in 1327ms (next.js: 29ms, application-code: 1298ms)
 GET / 200 in 1420ms (next.js: 25ms, application-code: 1395ms)
 GET / 200 in 1327ms (next.js: 49ms, application-code: 1278ms)
 GET / 200 in 1396ms (next.js: 69ms, application-code: 1327ms)
 GET / 200 in 1680ms (next.js: 20ms, application-code: 1661ms)
 GET / 200 in 2.1s (next.js: 83ms, application-code: 2.1s)
 GET / 200 in 1837ms (next.js: 21ms, application-code: 1816ms)
 GET / 200 in 1968ms (next.js: 20ms, application-code: 1949ms)
 GET / 200 in 1970ms (next.js: 115ms, application-code: 1855ms)
 GET / 200 in 1451ms (next.js: 36ms, application-code: 1415ms)
 GET / 200 in 1230ms (next.js: 140ms, application-code: 1090ms)
 GET / 200 in 1270ms (next.js: 43ms, application-code: 1227ms)
 GET / 200 in 1269ms (next.js: 82ms, application-code: 1187ms)
 GET / 200 in 1090ms (next.js: 28ms, application-code: 1062ms)
 GET / 200 in 1371ms (next.js: 122ms, application-code: 1249ms)
 GET / 200 in 1142ms (next.js: 16ms, application-code: 1126ms)
 GET / 200 in 983ms (next.js: 25ms, application-code: 958ms)
 GET / 200 in 1492ms (next.js: 24ms, application-code: 1468ms)
 GET / 200 in 1648ms (next.js: 38ms, application-code: 1610ms)
 GET / 200 in 1649ms (next.js: 120ms, application-code: 1529ms)
 GET / 200 in 1395ms (next.js: 114ms, application-code: 1280ms)
 GET / 200 in 1733ms (next.js: 30ms, application-code: 1704ms)
 GET / 200 in 1237ms (next.js: 32ms, application-code: 1205ms)
 GET / 200 in 1405ms (next.js: 146ms, application-code: 1258ms)
 GET / 200 in 2.8s (next.js: 230ms, application-code: 2.5s)
 GET / 200 in 1743ms (next.js: 96ms, application-code: 1647ms)
 GET / 200 in 1369ms (next.js: 39ms, application-code: 1330ms)
 GET / 200 in 1507ms (next.js: 50ms, application-code: 1457ms)
 GET / 200 in 1392ms (next.js: 13ms, application-code: 1379ms)
 GET / 200 in 1354ms (next.js: 33ms, application-code: 1322ms)
 GET / 200 in 1353ms (next.js: 238ms, application-code: 1115ms)
 GET / 200 in 968ms (next.js: 18ms, application-code: 950ms)
 GET / 200 in 1394ms (next.js: 143ms, application-code: 1251ms)
 GET / 200 in 1543ms (next.js: 120ms, application-code: 1423ms)
 GET / 200 in 1194ms (next.js: 75ms, application-code: 1119ms)
 GET / 200 in 2.2s (next.js: 13ms, application-code: 2.1s)
 GET / 200 in 2.2s (next.js: 178ms, application-code: 2.0s)
 GET / 200 in 2.0s (next.js: 156ms, application-code: 1857ms)
 GET / 200 in 2.4s (next.js: 46ms, application-code: 2.3s)
 GET / 200 in 1918ms (next.js: 20ms, application-code: 1898ms)
 GET / 200 in 1317ms (next.js: 135ms, application-code: 1182ms)
 GET / 200 in 2.3s (next.js: 653ms, application-code: 1605ms)
 GET / 200 in 1798ms (next.js: 374ms, application-code: 1424ms)
 GET / 200 in 1831ms (next.js: 233ms, application-code: 1597ms)
 GET / 200 in 1916ms (next.js: 57ms, application-code: 1859ms)
 GET / 200 in 1374ms (next.js: 33ms, application-code: 1341ms)
 GET / 200 in 1362ms (next.js: 11ms, application-code: 1351ms)
 GET / 200 in 1404ms (next.js: 138ms, application-code: 1266ms)
 GET / 200 in 1161ms (next.js: 140ms, application-code: 1021ms)
 GET / 200 in 1316ms (next.js: 235ms, application-code: 1081ms)
 GET / 200 in 1342ms (next.js: 64ms, application-code: 1279ms)
 GET / 200 in 1432ms (next.js: 280ms, application-code: 1151ms)
 GET / 200 in 1206ms (next.js: 60ms, application-code: 1146ms)
 GET / 200 in 1263ms (next.js: 79ms, application-code: 1184ms)
 GET / 200 in 1184ms (next.js: 82ms, application-code: 1102ms)
 GET / 200 in 1387ms (next.js: 158ms, application-code: 1229ms)
 GET / 200 in 1173ms (next.js: 24ms, application-code: 1149ms)
 GET / 200 in 1835ms (next.js: 102ms, application-code: 1733ms)
 GET / 200 in 1309ms (next.js: 18ms, application-code: 1291ms)
 GET / 200 in 1294ms (next.js: 21ms, application-code: 1273ms)
 GET / 200 in 1250ms (next.js: 14ms, application-code: 1236ms)
 GET / 200 in 1235ms (next.js: 18ms, application-code: 1217ms)
 GET / 200 in 1530ms (next.js: 88ms, application-code: 1442ms)
 GET / 200 in 1705ms (next.js: 88ms, application-code: 1618ms)
 GET / 200 in 1742ms (next.js: 24ms, application-code: 1718ms)
 GET / 200 in 1523ms (next.js: 33ms, application-code: 1490ms)
 GET / 200 in 1417ms (next.js: 61ms, application-code: 1357ms)
 GET / 200 in 1840ms (next.js: 47ms, application-code: 1793ms)
 GET / 200 in 1743ms (next.js: 310ms, application-code: 1433ms)
 GET / 200 in 1297ms (next.js: 24ms, application-code: 1273ms)
 GET / 200 in 1297ms (next.js: 148ms, application-code: 1149ms)
 GET / 200 in 1378ms (next.js: 26ms, application-code: 1352ms)
 GET / 200 in 1336ms (next.js: 35ms, application-code: 1301ms)
 GET / 200 in 1287ms (next.js: 14ms, application-code: 1272ms)
 GET / 200 in 1269ms (next.js: 18ms, application-code: 1251ms)
 GET / 200 in 1348ms (next.js: 17ms, application-code: 1331ms)
 GET / 200 in 1348ms (next.js: 114ms, application-code: 1234ms)
 GET / 200 in 1549ms (next.js: 18ms, application-code: 1531ms)
 GET / 200 in 1767ms (next.js: 16ms, application-code: 1751ms)
 GET / 200 in 1630ms (next.js: 24ms, application-code: 1606ms)
 GET / 200 in 1584ms (next.js: 32ms, application-code: 1553ms)
 GET / 200 in 1545ms (next.js: 130ms, application-code: 1415ms)
 GET / 200 in 1881ms (next.js: 18ms, application-code: 1863ms)
 GET / 200 in 1099ms (next.js: 81ms, application-code: 1018ms)
 GET / 200 in 1659ms (next.js: 87ms, application-code: 1572ms)
 GET / 200 in 1504ms (next.js: 181ms, application-code: 1323ms)
 GET / 200 in 1227ms (next.js: 25ms, application-code: 1202ms)
 GET / 200 in 1074ms (next.js: 24ms, application-code: 1051ms)
 GET / 200 in 1462ms (next.js: 19ms, application-code: 1443ms)
 GET / 200 in 1638ms (next.js: 11ms, application-code: 1627ms)
 GET / 200 in 1730ms (next.js: 17ms, application-code: 1712ms)
 GET / 200 in 1494ms (next.js: 38ms, application-code: 1455ms)
 GET / 200 in 1505ms (next.js: 261ms, application-code: 1244ms)
 GET / 200 in 1132ms (next.js: 22ms, application-code: 1110ms)
 GET / 200 in 1730ms (next.js: 425ms, application-code: 1306ms)
 GET / 200 in 967ms (next.js: 30ms, application-code: 938ms)
 GET / 200 in 1329ms (next.js: 63ms, application-code: 1266ms)
 GET / 200 in 1092ms (next.js: 91ms, application-code: 1000ms)
 GET / 200 in 1068ms (next.js: 14ms, application-code: 1054ms)
 GET / 200 in 1350ms (next.js: 98ms, application-code: 1253ms)
 GET / 200 in 1140ms (next.js: 11ms, application-code: 1129ms)
 GET / 200 in 2.1s (next.js: 85ms, application-code: 2.1s)
 GET / 200 in 1787ms (next.js: 90ms, application-code: 1697ms)
 GET / 200 in 1790ms (next.js: 25ms, application-code: 1765ms)
 GET / 200 in 2.3s (next.js: 21ms, application-code: 2.3s)
 GET / 200 in 2.1s (next.js: 89ms, application-code: 1978ms)
 GET / 200 in 1867ms (next.js: 12ms, application-code: 1854ms)
 GET / 200 in 2.1s (next.js: 49ms, application-code: 2.0s)
 GET / 200 in 1719ms (next.js: 476ms, application-code: 1243ms)
 GET / 200 in 1782ms (next.js: 265ms, application-code: 1517ms)
 GET / 200 in 1368ms (next.js: 28ms, application-code: 1340ms)
 GET / 200 in 1368ms (next.js: 116ms, application-code: 1251ms)
 GET / 200 in 1423ms (next.js: 37ms, application-code: 1386ms)
 GET / 200 in 1237ms (next.js: 53ms, application-code: 1185ms)
 GET / 200 in 1029ms (next.js: 31ms, application-code: 998ms)
 GET / 200 in 1305ms (next.js: 126ms, application-code: 1180ms)
 GET / 200 in 1287ms (next.js: 58ms, application-code: 1229ms)
 GET / 200 in 1292ms (next.js: 169ms, application-code: 1123ms)
 GET / 200 in 1301ms (next.js: 20ms, application-code: 1282ms)
 GET / 200 in 1276ms (next.js: 18ms, application-code: 1258ms)
 GET / 200 in 1494ms (next.js: 27ms, application-code: 1467ms)
 GET / 200 in 1518ms (next.js: 16ms, application-code: 1501ms)
 GET / 200 in 1343ms (next.js: 45ms, application-code: 1299ms)
 GET / 200 in 1447ms (next.js: 153ms, application-code: 1294ms)
 GET / 200 in 1107ms (next.js: 38ms, application-code: 1069ms)
 GET / 200 in 1118ms (next.js: 15ms, application-code: 1103ms)
 GET / 200 in 1234ms (next.js: 18ms, application-code: 1215ms)
 GET / 200 in 1076ms (next.js: 17ms, application-code: 1059ms)
 GET / 200 in 977ms (next.js: 12ms, application-code: 965ms)
 GET / 200 in 1088ms (next.js: 23ms, application-code: 1065ms)
 GET / 200 in 970ms (next.js: 19ms, application-code: 951ms)
 GET / 200 in 1328ms (next.js: 84ms, application-code: 1243ms)
 GET / 200 in 956ms (next.js: 15ms, application-code: 941ms)
 GET / 200 in 1227ms (next.js: 20ms, application-code: 1206ms)
 GET / 200 in 1012ms (next.js: 32ms, application-code: 980ms)
 GET / 200 in 1086ms (next.js: 13ms, application-code: 1073ms)
 GET / 200 in 1092ms (next.js: 49ms, application-code: 1042ms)
 GET / 200 in 974ms (next.js: 47ms, application-code: 927ms)
 GET / 200 in 1077ms (next.js: 16ms, application-code: 1061ms)
 GET / 200 in 964ms (next.js: 23ms, application-code: 940ms)
 GET / 200 in 1147ms (next.js: 17ms, application-code: 1130ms)
 GET / 200 in 1047ms (next.js: 12ms, application-code: 1036ms)
 GET / 200 in 1002ms (next.js: 12ms, application-code: 991ms)
 GET / 200 in 1107ms (next.js: 14ms, application-code: 1093ms)
 GET / 200 in 982ms (next.js: 13ms, application-code: 968ms)
 GET / 200 in 1114ms (next.js: 11ms, application-code: 1103ms)
 GET / 200 in 1299ms (next.js: 13ms, application-code: 1286ms)
 GET / 200 in 1200ms (next.js: 14ms, application-code: 1185ms)
 GET / 200 in 1288ms (next.js: 212ms, application-code: 1076ms)
 GET / 200 in 1289ms (next.js: 145ms, application-code: 1143ms)
 GET / 200 in 953ms (next.js: 17ms, application-code: 936ms)
 GET / 200 in 1252ms (next.js: 147ms, application-code: 1105ms)
 GET / 200 in 1000ms (next.js: 132ms, application-code: 868ms)
 GET / 200 in 1183ms (next.js: 69ms, application-code: 1114ms)
 GET / 200 in 1061ms (next.js: 84ms, application-code: 978ms)
 GET / 200 in 1186ms (next.js: 19ms, application-code: 1167ms)
 GET / 200 in 1012ms (next.js: 9ms, application-code: 1003ms)
 GET / 200 in 1024ms (next.js: 13ms, application-code: 1012ms)
 GET / 200 in 1264ms (next.js: 17ms, application-code: 1247ms)
 GET / 200 in 1078ms (next.js: 24ms, application-code: 1054ms)
 GET / 200 in 1075ms (next.js: 14ms, application-code: 1061ms)
 GET / 200 in 1209ms (next.js: 14ms, application-code: 1195ms)
 GET / 200 in 1087ms (next.js: 98ms, application-code: 988ms)
 GET / 200 in 1051ms (next.js: 11ms, application-code: 1041ms)
 GET / 200 in 1023ms (next.js: 33ms, application-code: 989ms)
 GET / 200 in 1232ms (next.js: 119ms, application-code: 1113ms)
 GET / 200 in 1073ms (next.js: 119ms, application-code: 955ms)
 GET / 200 in 1099ms (next.js: 18ms, application-code: 1081ms)
✓ Finished writing to filesystem cache in 14.9s
